"Object Name","Rise time (UT)","Transit time (UT) ","Set time (UT)","Max. observable time (hh:mm)","Apparent R.A. (hh:mm:ss)","Apparent Dec. (+dd mm'ss"")","V-mag","Heliocentric range (au)","Topocentric range (au)","Obj.-Earth-Sun angle (deg)","Obj.-Earth-Moon angle (deg)","Galactic latitude (deg)"
"(2026 BC2)","22:54","02:56","06:57","08:03","09:46:13","+30 19'21""","18.8","1.09","0.106","163.64","112.1","49.23"
"(2025 YK9)","17:10*","21:57*","02:43","04:31","04:46:41","-32 44'09""","17.8","1.02","0.179","96.11","120.3","-39.58"
"(2022 YU4)","00:57","03:27","05:57","04:59","10:17:18","+53 35'22""","17.6","1.11","0.158","139.74","113.2","50.99"
"(2021 CM9)","21:24*","01:33","05:42","07:29","08:23:06","+26 27'20""","18.0","1.37","0.399","158.36","128.5","30.57"
"(2018 YJ)","04:54","09:16*","13:38*","02:27","16:07:49","+17 39'33""","18.9","1.05","0.392","87.56","44.81","44.21"
"(2016 XQ23)","20:47*","23:52","02:58","04:45","06:42:20","+47 59'46""","18.3","1.27","0.384","130.25","146.8","18.07"
"(2016 NN39)","01:11","05:31","09:52*","06:11","12:22:24","+18 47'55""","17.6","1.15","0.202","140.61","75.47","79.25"
"(2016 CL136)","21:27*","02:07","06:48","08:35","08:57:45","-03 22'36""","17.8","1.10","0.115","159.80","108.9","25.77"
"(2015 HC117)","22:09*","02:42","07:15","09:02","09:32:27","+07 26'07""","17.9","1.22","0.238","173.20","106.3","38.75"
"(2015 CB)","22:03*","02:40","07:18","09:05","09:30:54","+01 34'27""","18.3","1.06","0.073","167.37","104.0","35.42"
"(2012 BC124)","21:13*","01:57","06:42","08:29","08:47:35","-12 22'20""","18.4","1.21","0.247","150.67","106.4","18.72"
"(2008 YR2)","23:02","03:29","07:56*","08:20","10:19:28","+13 25'27""","17.5","1.28","0.300","170.15","98.43","51.76"
"(2000 DL8)","22:51","01:08","03:24","04:32","07:58:02","+55 07'47""","18.6","1.24","0.326","134.50","133.2","31.03"
"(2000 BH19)","00:50","05:27","10:05*","06:32","12:18:17","+01 02'50""","17.9","1.14","0.193","138.53","66.67","62.78"
"(1999 AO10)","22:25","03:06","07:47*","08:56","09:56:41","-04 01'05""","17.1","1.01","0.028","161.41","95.70","37.41"
"866876 (2015 TE323)","14:41*","19:28*","00:15","02:03","02:17:33","-25 34'45""","18.6","0.918","0.226","65.85","118.6","-70.95"
"843295 (2016 ED85)","15:25*","19:24*","23:24","01:11","02:13:33","+31 22'17""","18.7","1.03","0.500","79.91","149.8","-28.54"
"836372 (2012 PQ28)","21:12*","00:59","04:45","06:33","07:48:52","+36 49'02""","18.6","1.42","0.486","146.53","137.2","26.42"
"679657 (2020 BE15)","16:25*","21:08*","01:52","03:39","03:57:58","-41 46'36""","18.9","0.983","0.149","84.16","111.0","-49.58"
"614313 (2008 YR27)","21:40*","00:58","04:16","06:04","07:48:09","+45 15'03""","17.6","1.26","0.327","140.99","136.8","28.19"
"549328 (2011 GO27)","23:11","03:33","07:55*","08:11","10:23:31","+17 31'45""","17.2","1.25","0.269","168.74","99.32","54.35"
"533722 (2014 NE52)","21:22*","01:25","05:27","07:15","08:15:14","+29 54'36""","18.9","1.55","0.600","155.01","131.0","29.89"
"528756 (2009 AS)","21:17*","01:23","05:29","07:17","08:13:36","+27 58'47""","18.0","1.38","0.420","155.76","130.9","29.00"
"523604 (2004 QB17)","22:50","03:27","08:05*","08:32","10:17:49","+00 56'27""","18.3","1.45","0.472","163.75","93.26","44.63"
"513529 (2010 CR1)","20:52*","00:51","04:49","06:37","07:40:52","-66 01'58""","15.8","1.00","0.082","96.95","80.35","-19.83"
"508918 (2004 BG86)","03:16","07:46*","12:16*","04:06","14:36:58","+10 16'18""","19.0","1.11","0.290","107.36","46.20","60.30"
"500080 (2011 WV134)","17:44*","22:18","02:52","04:39","05:07:25","+05 49'13""","15.3","1.05","0.145","112.83","157.2","-20.31"
"496818 (1993 RA)","20:34*","01:06","05:38","07:26","07:56:12","+08 06'59""","18.6","1.31","0.345","154.12","127.9","17.77"
"494975 (2009 WO106)","18:38*","23:25","04:12","06:00","06:15:03","-30 23'33""","18.3","1.11","0.241","113.83","117.6","-20.82"
"480858 (2001 PT9)","21:59*","02:11","06:23","08:11","09:01:27","+24 41'04""","18.5","1.18","0.197","166.17","119.7","38.37"
"427684 (2004 DH2)","23:27","04:13","08:59*","07:55","11:03:26","-35 19'05""","18.0","1.08","0.146","126.73","68.59","22.56"
"364136 (2006 CJ)","23:46","04:32","09:18*","07:36","11:22:47","-19 54'43""","18.9","1.18","0.245","137.51","69.92","38.29"
"318411 (2005 AH14)","01:27","05:29","09:30*","05:55","12:19:28","+30 16'07""","18.5","1.60","0.719","139.73","82.80","82.00"
"312473 (2008 SX245)","16:37*","21:21*","02:06","03:53","04:10:49","-12 27'50""","18.9","1.10","0.415","94.52","140.4","-41.51"
"310842 (2003 AK18)","20:30*","01:00","05:29","07:17","07:49:58","+10 41'49""","18.2","1.21","0.240","153.19","130.5","17.49"
"285625 (2000 RD34)","23:44","04:24","09:05*","07:37","11:15:16","-02 55'52""","18.8","1.56","0.620","150.71","78.70","51.95"
