Object Name,Rise time (UT),Transit time (UT) ,Set time (UT),Max. observable time (hh:mm),Apparent R.A. (hh:mm:ss),"Apparent Dec. (+dd mm'ss"")",V-mag,Heliocentric range (au),Topocentric range (au),Obj.-Earth-Sun angle (deg),Obj.-Earth-Moon angle (deg),Galactic latitude (deg)
141484 (2002 DB4),18:56*,23:39,04:23,06:11,06:29:23,"-41 07'51""",16.4,1.16,366,109.57,106.7,-21.51
138877 (2000 XG47),15:53*,19:07*,22:21,00:08,01:55:59,"+46 12'30""",18.9,1.24,878,83.32,143.9,-15.42
138325 (2000 GO82),13:43*,18:29*,23:14,01:02,01:17:42,"-15 41'27""",18.7,900,1.04,52.74,116.8,-77.30
96744 (1999 OW3),16:22*,20:59*,01:35,03:23,03:48:12,"-49 57'10""",16.3,1.09,644,80.76,102.7,-49.53
89355 (2001 VS78),05:25,10:00*,14:36*,01:57,16:51:44,"+03 49'19""",18.3,1.24,1.08,73.37,31.06,28.56
85628 (1998 KV2),04:16,08:20*,12:24*,03:06,15:11:23,"+28 57'48""",17.4,1.12,360,102.67,58.92,59.43
68350 (2001 MK3),14:56*,19:40*,00:23,02:11,02:28:59,"-10 38'47""",18.8,1.27,1.19,70.65,132.3,-62.06
55532 (2001 WG2),15:39*,19:34*,23:29,01:17,02:23:22,"+33 25'19""",18.3,1.24,892,82.62,151.8,-25.88
53319 (1999 JM8),04:24,09:05*,13:47*,02:58,15:56:53,"-05 23'38""",18.9,1.74,1.54,84.36,22.87,34.97
34613 (2000 UR13),21:40*,02:02,06:24,08:12,08:52:24,"+17 20'10""",18.0,1.96,986,168.32,119.2,34.02
25916 (2001 CP44),02:20,06:47,11:15*,05:02,13:38:36,"+13 05'36""",18.0,2.47,1.81,121.92,57.74,72.45
25330 (1999 KV4),05:04,09:44*,14:24*,02:18,16:35:29,"-02 46'50""",18.2,1.03,637,75.62,24.06,28.66
24475 (2000 VN2),03:49,08:19*,12:49*,03:33,15:10:40,"+10 01'22""",18.2,1.33,742,99.20,41.62,53.35
23714 (1998 EC3),00:11,04:40,09:08*,07:11,11:30:27,"+11 57'47""",18.5,1.77,830,152.78,82.41,65.54
23187 (2000 PN9),13:02*,17:48*,22:34,00:21,00:37:02,"-36 02'21""",17.8,769,1.00,45.40,96.49,-80.36
11398 (1998 YP11),20:45*,01:13,05:41,07:29,08:03:17,"+12 15'59""",16.2,1.41,447,156.65,128.2,21.11
