Prioridade;Nome do objeto;Nome_limpo;Melhores dias para observação;ΔV-MAG (Início–Fim);Análise;"μ (""/min) Início";"μ (""/min) Fim";Classe;Melhor dia (menor V);V no melhor ponto;ALT no melhor ponto (deg);Ano;score_recencia;score_mag;score_vel;score_total
12;2015 HC117;2015 HC117;10–24/02;17.6–17.7;CORES (g', r', i', z');1.3361666666666667;1.4133333333333333;lento;2026-02-12;17.5;24.0;2015.0;0.6666666666666666;0.36842105263157865;0.0;0.4657894736842104
13;2002 AJ129*;2002 AJ129;10–24/02;17.4–18.4;CORES (g', r', i', z');31.939;2.9328333333333334;rápido;2026-02-11;16.9;34.0;2002.0;0.2727272727272727;0.5263157894736843;1.0;0.4595693779904306
14;2011 GO27;2011 GO27;10–24/02;17.2–17.8;CORES (g', r', i', z');1.648;1.0253333333333334;lento;2026-02-10;17.2;30.0;2011.0;0.5454545454545454;0.4473684210526315;0.0;0.44677033492822965
15;2002 FB3;2002 FB3;10–24/02;16.6–16.3;CORES (g', r', i', z');3.356333333333333;3.9338333333333333;lento;2026-02-19;16.3;20.0;2002.0;0.2727272727272727;0.6842105263157892;0.0;0.43062200956937785
16;2008 YR2;2008 YR2;10–24/02;17.5–17.1;CORES (g', r', i', z');1.1656666666666666;1.252;lento;2026-02-19;17.0;69.0;2008.0;0.45454545454545453;0.4999999999999998;0.0;0.42954545454545445
17;2009 AS*;2009 AS;10–24/02;18.0–18.1;CORES (g', r', i', z');53.58;35.14;rápido;2026-02-10;18.0;48.0;2009.0;0.48484848484848486;0.23684210526315763;1.0;0.4247607655502391
18;2002 DB4;2002 DB4;10–24/02;16.4–16.7;CORES (g', r', i', z');1.8673333333333335;1.6483333333333334;lento;2026-02-10;16.4;57.0;2002.0;0.2727272727272727;0.6578947368421054;0.0;0.4187799043062202
19;1999 OW3;1999 OW3;10–23/02;16.3–16.1;CORES (g', r', i', z');2.056;2.8258333333333336;lento;2026-02-17;16.1;50.0;1999.0;0.18181818181818182;0.7368421052631573;0.0;0.41339712918660265
20;2012 PQ28*;2012 PQ28;10–16/02;18.5–19.0;CORES (g', r', i', z');58.47;41.38;rápido;2026-02-10;18.5;43.0;2012.0;0.5757575757575758;0.1052631578947365;1.0;0.4064593301435405
21;2014 NE52*;2014 NE52;10–13/02;18.8–19.0;CORES (g', r', i', z');31.25;26.23;rápido;2026-02-10;18.8;46.0;2014.0;0.6363636363636364;0.026315789473683626;1.0;0.398205741626794
22;2016 XQ23;2016 XQ23;10–24/02;18.3–18.3;CORES (g', r', i', z');1.9248333333333332;2.4713333333333334;lento;2026-02-13;18.2;22.0;2016.0;0.696969696969697;0.18421052631578938;0.0;0.3965311004784689
23;1998 YP11;1998 YP11;10–24/02;16.2–16.4;CORES (g', r', i', z');1.7345;1.6971666666666667;lento;2026-02-10;16.2;62.0;1998.0;0.15151515151515152;0.7105263157894737;0.0;0.38791866028708133
24;2001 YJ4;2001 YJ4;10–23/02;16.7–16.7;CORES (g', r', i', z');3.9335;4.276;lento;2026-02-10;16.7;21.0;2001.0;0.24242424242424243;0.5789473684210527;0.0;0.36961722488038284
25;2008 YR27;2008 YR27;10–24/02;17.6–17.7;CORES (g', r', i', z');3.6745;5.266;lento;2026-02-10;17.6;35.0;2008.0;0.45454545454545453;0.34210526315789413;0.0;0.35849282296650686
26;2001 BW15;2001 BW15;10–24/02;17.3–16.8;CORES (g', r', i', z');2.7411666666666665;3.7488333333333332;lento;2026-02-21;16.8;34.0;2001.0;0.24242424242424243;0.552631578947368;0.0;0.35777511961722475
27;2004 DH2;2004 DH2;10–24/02;18.2–17.2;CORES (g', r', i', z');7.291333333333333;6.758666666666667;lento;2026-02-20;17.2;20.0;2004.0;0.3333333333333333;0.4473684210526315;0.0;0.3513157894736842
28;2001 CP44*;2001 CP44;10–23/02;18.0–17.7;CORES (g', r', i', z');23.99;25.46;rápido;2026-02-20;17.7;65.0;2001.0;0.24242424242424243;0.3157894736842104;1.0;0.35119617224880373
29;2016 ED85;2016 ED85;10–24/02;18.7–18.7;CORES (g', r', i', z');4.410833333333333;4.301333333333333;lento;2026-02-14;18.6;20.0;2016.0;0.696969696969697;0.07894736842105188;0.0;0.349162679425837
30;2005 LR3*;2005 LR3;10–23/02;18.2–18.3;CORES (g', r', i', z');30.46;20.95;rápido;2026-02-10;18.2;22.0;2005.0;0.36363636363636365;0.18421052631578938;1.0;0.34653110047846886
31;1998 KV2*;1998 KV2;10–23/02;17.4–17.4;CORES (g', r', i', z');40.51;8.77;rápido;2026-02-10;17.4;20.0;1998.0;0.15151515151515152;0.3947368421052633;1.0;0.34581339712918663
32;2006 CS;2006 CS;10–23/02;18.0–17.5;CORES (g', r', i', z');0.8575;1.6090000000000002;lento;2026-02-23;17.5;21.0;2006.0;0.3939393939393939;0.36842105263157865;0.0;0.3430622009569377
33;2018 YJ;2018 YJ;10–23/02;18.9–18.9;CORES (g', r', i', z');3.3441666666666667;3.4323333333333332;lento;2026-02-10;18.9;21.0;2018.0;0.7575757575757576;0.0;0.0;0.34090909090909094
34;2012 BC124;2012 BC124;10–16/02;18.3–19.0;CORES (g', r', i', z');7.5521666666666665;5.725499999999999;lento;2026-02-10;18.3;58.0;2012.0;0.5757575757575758;0.15789473684210475;0.0;0.33014354066985624
35;2004 QB17*;2004 QB17;10–24/02;18.3–18.5;CORES (g', r', i', z');51.08;41.91;rápido;2026-02-10;18.3;36.0;2004.0;0.3333333333333333;0.15789473684210475;1.0;0.32105263157894715
36;2000 BH19*;2000 BH19;10–23/02;17.9–17.9;CORES (g', r', i', z');62.19;23.58;rápido;2026-02-10;17.9;22.0;2000.0;0.21212121212121213;0.26315789473684215;1.0;0.3138755980861244
37;2000 SS164*;2000 SS164;10–23/02;18.2–18.0;CORES (g', r', i', z');29.3;34.23;rápido;2026-02-22;18.0;20.0;2000.0;0.21212121212121213;0.23684210526315763;1.0;0.3020334928229664
38;1998 WT30*;1998 WT30;10–24/02;17.8–18.1;CORES (g', r', i', z');3.71;17.17;rápido;2026-02-10;17.8;47.0;1998.0;0.15151515151515152;0.2894736842105259;1.0;0.29844497607655485
39;1998 EC3*;1998 EC3;10–24/02;18.6–17.8;CORES (g', r', i', z');35.44;57.67;rápido;2026-02-22;17.8;20.0;1998.0;0.15151515151515152;0.2894736842105259;1.0;0.29844497607655485
40;2001 WG2*;2001 WG2;10–23/02;18.3–18.2;CORES (g', r', i', z');50.92;45.91;rápido;2026-02-19;18.2;20.0;2001.0;0.24242424242424243;0.18421052631578938;1.0;0.2919856459330143
41;2000 VN2*;2000 VN2;10–23/02;18.2–18.1;CORES (g', r', i', z');46.81;22.17;rápido;2026-02-10;18.1;69.0;2000.0;0.21212121212121213;0.210526315789473;1.0;0.2901913875598083
42;2009 WO106;2009 WO106;10–24/02;18.3–19.0;CORES (g', r', i', z');2.341;1.5411666666666666;lento;2026-02-10;18.3;66.0;2009.0;0.48484848484848486;0.15789473684210475;0.0;0.28923444976076534
43;2005 AH14;2005 AH14;10–23/02;18.6–17.9;CORES (g', r', i', z');0.8725;1.0611666666666666;lento;2026-02-23;17.9;21.0;2005.0;0.36363636363636365;0.26315789473684215;0.0;0.2820574162679426
44;2003 YQ117;2003 YQ117;10–23/02;17.8–18.1;CORES (g', r', i', z');3.315166666666667;2.9121666666666663;lento;2026-02-10;17.8;20.0;2003.0;0.30303030303030304;0.2894736842105259;0.0;0.26662679425837305
45;1999 AO10;1999 AO10;10–23/02;17.5–18.5;CORES (g', r', i', z');8.614;7.279166666666667;lento;2026-02-10;17.4;24.0;1999.0;0.18181818181818182;0.3947368421052633;0.0;0.25944976076555026
46;2003 KN18;2003 KN18;10–21/02;17.9–19.0;CORES (g', r', i', z');2.2161666666666666;5.3965000000000005;lento;2026-02-10;17.9;28.0;2003.0;0.30303030303030304;0.26315789473684215;0.0;0.25478468899521534
47;2004 BG86*;2004 BG86;10–19/02;19.0–19.0;CORES (g', r', i', z');7.254166666666666;10.023;rápido;2026-02-11;18.9;49.0;2004.0;0.3333333333333333;0.0;1.0;0.24999999999999997
48;2001 DQ8;2001 DQ8;10–24/02;17.8–18.9;CORES (g', r', i', z');4.227333333333333;2.006;lento;2026-02-10;17.8;24.0;2001.0;0.24242424242424243;0.2894736842105259;0.0;0.23935406698564576
49;2000 PN9;2000 PN9;10–23/02;17.8–17.7;CORES (g', r', i', z');2.1621666666666663;2.847666666666667;lento;2026-02-19;17.7;23.0;2000.0;0.21212121212121213;0.3157894736842104;0.0;0.23755980861244014
50;2006 CJ;2006 CJ;10–24/02;19.0–18.4;CORES (g', r', i', z');4.762833333333333;6.365333333333334;lento;2026-02-17;18.4;26.0;2006.0;0.3939393939393939;0.13157894736842113;0.0;0.2364832535885168
51;2003 AK18;2003 AK18;10–22/02;18.1–19.0;CORES (g', r', i', z');2.754166666666667;1.392;lento;2026-02-10;18.1;64.0;2003.0;0.30303030303030304;0.210526315789473;0.0;0.23110047846889925
52;2008 SX245;2008 SX245;10–24/02;18.9–18.8;CORES (g', r', i', z');1.4283333333333335;2.0308333333333333;lento;2026-02-21;18.8;24.0;2008.0;0.45454545454545453;0.026315789473683626;0.0;0.21638755980861216
53;2000 CF59;2000 CF59;10–24/02;17.9–18.4;CORES (g', r', i', z');4.4965;3.2136666666666667;lento;2026-02-10;17.9;52.0;2000.0;0.21212121212121213;0.26315789473684215;0.0;0.21387559808612444
54;2001 PT9;2001 PT9;10–24/02;18.5–18.1;CORES (g', r', i', z');2.309833333333333;5.5035;lento;2026-02-21;18.1;39.0;2001.0;0.24242424242424243;0.210526315789473;0.0;0.20382775119617197
55;2000 UR13;2000 UR13;10–24/02;18.0–18.2;CORES (g', r', i', z');0.9383333333333332;0.7951666666666667;lento;2026-02-10;18.0;49.0;2000.0;0.21212121212121213;0.23684210526315763;0.0;0.2020334928229664
56;2004 DV24;2004 DV24;10–24/02;18.9–18.5;CORES (g', r', i', z');1.5673333333333335;2.2305;lento;2026-02-22;18.5;24.0;2004.0;0.3333333333333333;0.1052631578947365;0.0;0.19736842105263142
57;2001 VS78;2001 VS78;10–23/02;18.3–18.3;CORES (g', r', i', z');2.0335;1.8575000000000002;lento;2026-02-10;18.3;24.0;2001.0;0.24242424242424243;0.15789473684210475;0.0;0.18014354066985624
58;1999 KV4;1999 KV4;10–23/02;18.2–18.2;CORES (g', r', i', z');1.7723333333333333;1.5533333333333335;lento;2026-02-10;18.2;24.0;1999.0;0.18181818181818182;0.18421052631578938;0.0;0.16471291866028703
59;2000 RD34;2000 RD34;10–24/02;18.8–18.6;CORES (g', r', i', z');0.7666666666666667;0.9239999999999999;lento;2026-02-18;18.6;20.0;2000.0;0.21212121212121213;0.07894736842105188;0.0;0.1309808612440188
60;2000 DL8;2000 DL8;10–17/02;18.6–19.0;CORES (g', r', i', z');2.332666666666667;1.8396666666666666;lento;2026-02-10;18.6;24.0;2000.0;0.21212121212121213;0.07894736842105188;0.0;0.1309808612440188
61;2001 MK3;2001 MK3;10–24/02;18.8–18.8;CORES (g', r', i', z');2.1966666666666668;2.291333333333333;lento;2026-02-10;18.8;26.0;2001.0;0.24242424242424243;0.026315789473683626;0.0;0.12093301435406673
62;2000 GO82;2000 GO82;10–21/02;18.7–19.0;CORES (g', r', i', z');4.287166666666667;3.5981666666666663;lento;2026-02-10;18.7;20.0;2000.0;0.21212121212121213;0.05263157894736825;0.0;0.11913875598086117
63;1999 JM8;1999 JM8;10–23/02;18.9–18.6;CORES (g', r', i', z');1.6048333333333333;1.7991666666666668;lento;2026-02-20;18.6;61.0;1999.0;0.18181818181818182;0.07894736842105188;0.0;0.11734449760765517
64;2000 XG47;2000 XG47;10–23/02;18.9–18.8;CORES (g', r', i', z');0.711;1.0171666666666668;lento;2026-02-19;18.8;20.0;2000.0;0.21212121212121213;0.026315789473683626;0.0;0.10729665071770308
65;1996 DH;1996 DH;10–24/02;18.6–18.7;CORES (g', r', i', z');1.1676666666666666;1.1280000000000001;lento;2026-02-10;18.5;48.0;1996.0;0.09090909090909091;0.1052631578947365;0.0;0.08827751196172234
66;1993 RA;1993 RA;10–18/02;18.6–19.0;CORES (g', r', i', z');1.0656666666666665;0.955;lento;2026-02-10;18.6;66.0;1993.0;0.0;0.07894736842105188;0.0;0.035526315789473344
