Prioridade;Nome do objeto;Nome_limpo;Melhores dias para observação;ΔV-MAG (Início–Fim);Análise;"μ (""/min) Início";"μ (""/min) Fim";Classe;Melhor dia (menor V);V no melhor ponto;ALT no melhor ponto (deg);Ano;score_recencia;score_mag;score_vel;score_total
1;2010 CR1*;2010 CR1;10–23/02;15.9–17.2;CORES (g', r', i', z');27.936333333333334;3.0125;rápido;2026-02-11;15.7;26.0;2010.0;0.5151515151515151;0.8421052631578948;1.0;0.7107655502392344
2;2011 WV134;2011 WV134;10–24/02;15.3–15.3;CORES (g', r', i', z');3.010166666666667;8.864666666666666;lento;2026-02-16;15.1;21.0;2011.0;0.5454545454545454;1.0;0.0;0.6954545454545454
3;2025 YK9*;2025 YK9;10–23/02;17.7–18.0;CORES (g', r', i', z');2.944;9.67;rápido;2026-02-11;17.6;24.0;2025.0;0.9696969696969697;0.34210526315789413;1.0;0.6903110047846888
4;2022 YU4;2022 YU4;10–17/02;17.4–17.1;CORES (g', r', i', z');3.08;4.2385;lento;2026-02-17;17.1;20.0;2022.0;0.8787878787878788;0.47368421052631515;0.0;0.6086124401913873
5;2016 CL136*;2016 CL136;10–17/02;17.6–19.0;CORES (g', r', i', z');10.937166666666666;4.944500000000001;rápido;2026-02-10;17.6;53.0;2016.0;0.696969696969697;0.34210526315789413;1.0;0.567583732057416
6;2005 GN59;2005 GN59;10–24/02;15.9–16.5;CORES (g', r', i', z');2.1031666666666666;1.4578333333333333;lento;2026-02-10;15.9;52.0;2005.0;0.36363636363636365;0.7894736842105261;0.0;0.5188995215311004
7;2015 CB*;2015 CB;10–15/02;18.1–19.0;CORES (g', r', i', z');10.050166666666666;6.468333333333334;rápido;2026-02-10;18.1;44.0;2015.0;0.6666666666666666;0.210526315789473;1.0;0.4947368421052628
8;2020 BE15*;2020 BE15;10–19/02;19.0–19.0;CORES (g', r', i', z');19.788666666666664;8.127333333333333;rápido;2026-02-12;18.7;20.0;2020.0;0.8181818181818182;0.05263157894736825;1.0;0.4918660287081339
9;2021 CM9;2021 CM9;10–24/02;18.0–19.0;CORES (g', r', i', z');1.7311666666666667;0.9293333333333333;lento;2026-02-10;18.0;48.0;2021.0;0.8484848484848485;0.23684210526315763;0.0;0.4883971291866028
10;2016 NN39;2016 NN39;10–23/02;17.5–17.8;CORES (g', r', i', z');5.656000000000001;5.714666666666667;lento;2026-02-10;17.5;24.0;2016.0;0.696969696969697;0.36842105263157865;0.0;0.4794258373205741
11;2026 BC2;2026 BC2;10–19/02;18.8–19.0;CORES (g', r', i', z');6.326333333333333;5.251;lento;2026-02-11;18.7;50.0;2026.0;1.0;0.05263157894736825;0.0;0.4736842105263157
